augmented_constrast_stretching_1,augmented_log_1,augmented_exponencial_1,augmented_laplaciano_1,augmented_media_1,normalized_constrast_stretching_1,normalized_log_1,normalized_exponencial_1,normalized_laplaciano_1,normalized_media_1,originalGray_1,augmented_constrast_stretching_2,augmented_log_2,augmented_exponencial_2,augmented_laplaciano_2,augmented_media_2,normalized_constrast_stretching_2,normalized_log_2,normalized_exponencial_2,normalized_laplaciano_2,normalized_media_2,originalGray_2,augmented_constrast_stretching_3,augmented_log_3,augmented_exponencial_3,augmented_laplaciano_3,augmented_media_3,normalized_constrast_stretching_3,normalized_log_3,normalized_exponencial_3,normalized_laplaciano_3,normalized_media_3,originalGray_3,augmented_constrast_stretching_4,augmented_log_4,augmented_exponencial_4,augmented_laplaciano_4,augmented_media_4,normalized_constrast_stretching_4,normalized_log_4,normalized_exponencial_4,normalized_laplaciano_4,normalized_media_4,originalGray_4
65972,94,6561,19029,179465,53905,61215,63710,35461,64435,138124,14459,5113,1420,214,89268,20179,75747,44410,10072,69884,87862,29754,1733,2,3964,110748,53158,67397,56008,46066,61586,97841,26860,1320,0,3341,86339,52517,64018,52143,32770,62765,80356
66009,116,5392,18811,179388,59667,52296,53096,35401,68765,137268,69752,14459,1771,227,93636,17539,73084,87299,10522,68439,94989,48279,1828,0,3792,106662,41022,58233,62410,45730,72079,95947,34260,1268,0,3225,79990,38246,72064,49446,33264,63828,76016
65070,134,4194,18681,178235,59164,53750,83780,35116,58893,137176,14111,24299,268,187,92738,19499,44539,52907,11019,63652,89150,28488,3428,0,3800,104331,45863,64429,69162,44949,64734,93267,25511,2001,0,3246,74348,48348,66397,47420,33600,65573,72710
65112,132,3736,18054,176329,73477,67081,89240,35212,74190,137871,67237,115271,31,186,135595,24774,40613,95388,11316,68195,150047,48839,9608,0,3538,113010,55534,74725,60129,44717,71298,110422,35178,10939,0,3032,70809,51467,63041,108350,32973,78793,74711
64356,123,3403,17693,175251,47245,45807,51380,34587,52557,134161,14732,19139,11,186,49628,11002,34266,36614,11944,42917,32063,27465,3637,0,3544,82193,36076,48926,45231,44287,53649,68051,24468,2088,0,2932,60932,32243,46078,45445,33267,52733,61429
64339,161,4200,17470,174360,56429,73823,59436,33912,61763,133714,66889,15826,0,183,90706,30549,87783,63840,12776,56948,94744,48758,2666,0,3352,82503,40291,59035,55314,44179,61796,80650,33026,1678,0,2792,59224,42528,55472,44169,32996,58515,64456
64337,140,5835,17221,172088,55776,65110,47588,33828,59662,133292,14846,7431,0,161,101057,23316,56705,50831,13485,63439,100846,26754,2086,0,3215,80465,43239,63614,74737,43318,59720,77307,23093,1540,0,2725,57288,36571,73402,39769,33192,60344,63136
63456,143,1277,16887,171482,56295,52996,55412,33782,67930,132288,50236,12430,0,161,83230,17754,65405,55905,12854,50844,83748,45333,2929,0,3063,74991,41151,67197,56409,41780,64795,77939,32375,2152,0,2731,52613,52299,73330,52526,33615,63188,60595
63041,229,335,16683,169795,65102,129470,77635,33301,59591,130665,16264,13698,0,136,80890,11088,81324,100626,13118,66444,81778,28541,5459,0,2892,72811,42840,51878,65157,40703,61232,77168,23579,3032,0,2500,52606,38798,47769,61838,33686,60239,60817
63419,190,112,16261,169728,58705,46537,76480,32913,61817,129881,86408,22238,0,144,80241,30662,58347,61186,13552,74024,82010,58099,13777,0,2866,67278,47479,62528,52757,39224,63141,76432,41180,9992,0,2348,47789,40013,59681,71443,34062,61524,56786
